date,domestic_passengers,international_passengers,total_passengers,domestic_smooth,international_smooth
1/1/03,43032450,4905830,47938280,,
2/1/03,41166780,4245366,45412146,,
3/1/03,49992700,5008613,55001313,44730643.33,4719936.333
4/1/03,47033260,4345444,51378704,46064246.67,4533141
5/1/03,49152352,4610834,53763186,48726104,4654963.667
6/1/03,52209516,5411504,57621020,49465042.67,4789260.667
7/1/03,55810773,6191120,62001893,52390880.33,5404486
8/1/03,53920973,6272332,60193305,53980420.67,5958318.667
9/1/03,44213408,4824596,49038004,51315051.33,5762682.667
10/1/03,49944931,4920822,54865753,49359770.67,5339250
11/1/03,47059495,4845759,51905254,47072611.33,4863725.667
12/1/03,49757124,5358991,55116115,48920516.67,5041857.333
1/1/04,43815481,5255246,49070727,46877366.67,5153332
2/1/04,45306597,4941629,50248226,46293067.33,5185288.667
3/1/04,54147227,5805703,59952930,47756435,5334192.667
4/1/04,53253194,5664027,58917221,50902339.33,5470453
5/1/04,53030873,5767517,58798390,53477098,5745749
6/1/04,56959142,6405771,63364913,54414403,5945771.667
7/1/04,59614287,7183275,66797562,56534767.33,6452187.667
8/1/04,57380873,6986797,64367670,57984767.33,6858614.333
9/1/04,47671785,5396245,53068030,54888981.67,6522105.667
10/1/04,54167489,5629964,59797453,53073382.33,6004335.333
11/1/04,51781700,5384214,57165914,51206991.33,5470141
12/1/04,52639838,6041853,58681691,52863009,5685343.667
1/1/05,47977657,6158509,54136166,50799731.67,5861525.333
2/1/05,47074882,5499590,52574472,49230792.33,5899984
3/1/05,58838975,6964313,65803288,51297171.33,6207470.667
4/1/05,54908859,6388741,61297600,53607572,6284214.667
5/1/05,57323876,6575254,63899130,57023903.33,6642769.333
6/1/05,59724061,7123126,66847187,57318932,6695707
7/1/05,62396446,7867346,70263792,59814794.33,7188575.333
8/1/05,59110633,7419187,66529820,60410380,7469886.333
9/1/05,50600325,5933841,56534166,57369134.67,7073458
10/1/05,53738093,5873755,59611848,54483017,6408927.667
11/1/05,52766404,5644497,58410901,52368274,5817364.333
12/1/05,52801276,6395022,59196298,53101924.33,5971091.333
1/1/06,48886043,6402933,55288976,51484574.33,6147484
2/1/06,47348142,5706909,53055051,49678487,6168288
3/1/06,58286011,7221839,65507850,51506732,6443893.667
4/1/06,55828555,7036629,62865184,53820902.67,6655125.667
5/1/06,57145193,6997054,64142247,57086586.33,7085174
6/1/06,59297121,7625061,66922182,57423623,7219581.333
7/1/06,60838606,8340003,69178609,59093640,7654039.333
8/1/06,58303233,7843848,66147081,59479653.33,7936304
9/1/06,49949551,6189973,56139524,56363796.67,7457941.333
10/1/06,55088983,6281017,61370000,54447255.67,6771612.667
11/1/06,53852209,6173261,60025470,52963581,6214750.333
12/1/06,53538970,6917055,60456025,54160054,6457111
1/1/07,50022168,6854636,56876804,52471115.67,6648317.333
2/1/07,47766421,6078593,53845014,50442519.67,6616761.333
3/1/07,59244232,7647510,66891742,52344273.67,6860246.333
4/1/07,57396328,7233785,64630113,54802327,6986629.333
5/1/07,59283597,7244944,66528541,58641385.67,7375413
6/1/07,61493934,7953495,69447429,59391286.33,7477408
7/1/07,63457403,8696119,72153522,61411644.67,7964852.667
8/1/07,62657667,8429481,71087148,62536334.67,8359698.333
9/1/07,52308015,6665909,58973924,59474361.67,7930503
10/1/07,57206249,6734727,63940976,57390643.67,7276705.667
11/1/07,55044206,6616131,61660337,54852823.33,6672255.667
12/1/07,53288538,7302494,60591032,55179664.33,6884450.667
1/1/08,50245100,7214702,57459802,52859281.33,7044442.333
2/1/08,50118363,6691283,56809646,51217333.67,7069493
3/1/08,59213077,8257253,67470330,53192180,7387746
4/1/08,55611053,7361463,62972516,54980831,7436666.333
5/1/08,58047400,7747506,65794906,57623843.33,7788740.667
6/1/08,59559171,8168145,67727316,57739208,7759038
7/1/08,61401480,8831861,70233341,59669350.33,8249170.667
8/1/08,58966473,8629543,67596016,59975708,8543183
9/1/08,47680001,6327854,54007855,56015984.67,7929752.667
10/1/08,52956023,6473043,59429066,53200832.33,7143480
11/1/08,47658141,6167102,53825243,49431388.33,6322666.333
12/1/08,50253658,6881238,57134896,50289274,6507127.667
1/1/09,44821711,6737730,51559441,47577836.67,6595356.667
2/1/09,43677233,5970396,49647629,46250867.33,6529788
3/1/09,53531487,7227487,60758974,47343477,6645204.333
4/1/09,52245401,7086357,59331758,49818040.33,6761413.333
5/1/09,52948582,6597012,59545594,52908490,6970285.333
6/1/09,55898027,7460171,63358198,53697336.67,7047846.667
7/1/09,59468957,8399115,67868072,56105188.67,7485432.667
8/1/09,56568180,8217868,64786048,57311721.33,8025718
9/1/09,48235025,6219954,54454979,54757387.33,7612312.333
10/1/09,52279405,6295084,58574489,52360870,6910968.667
11/1/09,48584832,6008261,54593093,49699754,6174433
12/1/09,49793438,6892742,56686180,50219225,6398695.667
1/1/10,45501620,6816044,52317664,47959963.33,6572349
2/1/10,42440614,6014415,48455029,45911890.67,6574400.333
3/1/10,54424077,7531317,61955394,47455437,6787258.667
4/1/10,52498074,6941422,59439496,49787588.33,6829051.333
5/1/10,53842422,7402599,61245021,53588191,7291779.333
6/1/10,56689853,8100494,64790347,54343449.67,7481505
7/1/10,59142493,9052302,68194795,56558256,8185131.667
8/1/10,57370748,8646519,66017267,57734364.67,8599771.667
9/1/10,50304708,6847457,57152165,55605983,8182092.667
10/1/10,54826050,7072483,61898533,54167168.67,7522153
11/1/10,51420350,6510189,57930539,52183702.67,6810043
12/1/10,51076415,7271391,58347806,52440938.33,6951354.333
1/1/11,46304921,7155472,53460393,49600562,6979017.333
2/1/11,43657818,6205658,49863476,47013051.33,6877507
3/1/11,55649428,7733473,63382901,48537389,7031534.333
4/1/11,52858479,7495073,60353552,50721908.33,7144734.667
5/1/11,55982234,7671950,63654184,54830047,7633498.667
6/1/11,57778699,8256632,66035331,55539804,7807885
7/1/11,60310295,9384241,69694536,58023742.67,8437607.667
8/1/11,57403835,8677482,66081317,58497609.67,8772785
9/1/11,50982170,6893283,57875453,56232100,8318335.333
10/1/11,54124363,6884408,61008771,54170122.67,7485057.667
11/1/11,51660083,6431880,58091963,52255538.67,6736523.667
12/1/11,51534907,7331513,58866420,52439784.33,6882600.333
1/1/12,47080430,7155733,54236163,50091806.67,6973042
